,_id,page_url,copyright,
21,5f1baf2f896f82cdbda60ed4,/entries/aesthetics-18th-german/,Paul Guyer ,2
22,5f1baf30896f82cdbda60ed5,/entries/aesthetics-19th-romantic/,Keren Gorodeisky ,2
23,5f1baf32896f82cdbda60ed6,/entries/aesthetics-existentialist/,Jean-Philippe Deranty ,2
24,5f1baf33896f82cdbda60ed7,/entries/aesthetics-of-everyday/,Yuriko Saito ,2
25,5f1baf35896f82cdbda60ed8,/entries/affirmative-action/,Robert Fullinwider ,2
26,5f1baf36896f82cdbda60ed9,/entries/african-ethics/,Kwame Gyekye,2
27,5f1baf38896f82cdbda60eda,/entries/african-sage/,Dismas Masolo ,2
28,5f1baf3a896f82cdbda60edb,/entries/africana/,Lucius T. Outlaw Jr. ,4
29,5f1baf3b896f82cdbda60edc,/entries/afterlife/,William Hasker and Charles Taliaferro ,5
30,5f1baf3d896f82cdbda60edd,/entries/agency/,Markus Schlosser ,2
31,5f1baf3e896f82cdbda60ede,/entries/agrippa-nettesheim/,Vittoria Perrone Compagni ,3
32,5f1baf40896f82cdbda60edf,/entries/akan-person/,Ajume Wingo ,2
33,5f1baf43896f82cdbda60ee0,/entries/al-baghdadi/,Cecilia Martini Bonadeo ,3
34,5f1baf44896f82cdbda60ee1,/entries/al-farabi-logic/,Wilfrid Hodges and Therese-Anne Druart,5
35,5f1baf46896f82cdbda60ee2,/entries/al-farabi-psych/,Luis Xavier López-Farjeat ,3
36,5f1baf48896f82cdbda60ee3,/entries/al-farabi-soc-rel/,Nadja Germann ,2
37,5f1baf49896f82cdbda60ee4,/entries/al-farabi/,Therese-Anne Druart ,2
38,5f1baf4a896f82cdbda60ee5,/entries/al-ghazali/,Frank Griffel ,2
39,5f1baf4b896f82cdbda60ee6,/entries/al-kindi/,Peter Adamson ,2
40,5f1baf4e896f82cdbda60ee7,/entries/alain-locke/,Jacoby Adeshei Carter ,3
41,5f1baf4f896f82cdbda60ee8,/entries/albert-great/,Markus Führer ,2
42,5f1baf50896f82cdbda60ee9,/entries/albert-saxony/,Joél Biard ,2
43,5f1baf52896f82cdbda60eea,/entries/albo-joseph/,Dror Ehrlich ,2
44,5f1baf53896f82cdbda60eeb,/entries/alcmaeon/,Carl Huffman ,2
45,5f1baf54896f82cdbda60eec,/entries/alexander-aphrodisias/,Dorothea Frede ,2
46,5f1baf55896f82cdbda60eed,/entries/alexander-crummell/,Stephen Thompson ,2
47,5f1baf57896f82cdbda60eee,/entries/alexander/,Emily A. E. Thomas ,4
48,5f1baf59896f82cdbda60eef,/entries/algebra-logic-tradition/,Stanley Burris and Javier Legris ,5
49,5f1baf5b896f82cdbda60ef0,/entries/algebra/,Vaughan Pratt ,2
50,5f1baf5c896f82cdbda60ef1,/entries/alienation/,David Leopold ,2
51,5f1baf5e896f82cdbda60ef2,/entries/althusser/,William Lewis ,2
52,5f1baf5f896f82cdbda60ef3,/entries/altruism-biological/,Samir Okasha ,2
53,5f1baf61896f82cdbda60ef4,/entries/altruism-empirical/,"John Doris, Stephen Stich, and Lachlan Walmsley ",7
54,5f1baf63896f82cdbda60ef5,/entries/altruism/,Richard Kraut ,2
55,5f1baf65896f82cdbda60ef6,/entries/alyngton/,Alessandro Conti ,2
56,5f1baf66896f82cdbda60ef7,/entries/ambiguity/,Adam Sennet ,2
57,5f1baf67896f82cdbda60ef8,/entries/ammonius/,David Blank ,2
58,5f1baf68896f82cdbda60ef9,/entries/analogy-medieval/,E. Jennifer Ashworth ,3
59,5f1baf6e896f82cdbda60efa,/entries/analysis/,Michael Beaney ,2
60,5f1baf70896f82cdbda60efb,/entries/analytic-synthetic/,Georges Rey ,2
61,5f1baf72896f82cdbda60efc,/entries/anaphora/,Jeffrey C. King and Karen S. Lewis ,7
62,5f1baf74896f82cdbda60efd,/entries/anarchism/,Andrew Fiala ,2
63,5f1baf75896f82cdbda60efe,/entries/anaxagoras/,Patricia Curd ,2
64,5f1baf77896f82cdbda60eff,/entries/ancient-political/,Melissa Lane ,2
65,5f1baf79896f82cdbda60f00,/entries/ancient-soul/,Hendrik Lorenz ,2
66,5f1baf7a896f82cdbda60f01,/entries/anderson-john/,Creagh McLean Cole ,3
67,5f1baf7c896f82cdbda60f02,/entries/animalism/,Stephan Blatti ,2
68,5f1baf7d896f82cdbda60f03,/entries/anna-julia-cooper/,Kathryn T. Gines ,3
69,5f1baf7f896f82cdbda60f04,/entries/anomalous-monism/,Steven Yalowitz ,2
70,5f1baf81896f82cdbda60f05,/entries/anscombe/,Julia Driver,2
71,5f1baf82896f82cdbda60f06,/entries/anselm/,Thomas Williams ,2
72,5f1baf84896f82cdbda60f07,/entries/antiochus-ascalon/,James Allen ,2
73,5f1baf85896f82cdbda60f08,/entries/antonio-rosmini/,Denis Cleary,2
74,5f1baf86896f82cdbda60f09,/entries/apriori/,Bruce Russell ,2
75,5f1baf88896f82cdbda60f0a,/entries/aquinas-moral-political/,John Finnis ,2
76,5f1baf89896f82cdbda60f0b,/entries/aquinas/,Ralph McInerny and John O'Callaghan ,5
77,5f1baf8b896f82cdbda60f0c,/entries/arabic-islamic-causation/,Kara Richardson ,2
78,5f1baf8c896f82cdbda60f0d,/entries/arabic-islamic-greek/,Cristina D'Ancona ,2
79,5f1baf8f896f82cdbda60f0e,/entries/arabic-islamic-influence/,Dag Nikolaus Hasse ,3
80,5f1baf91896f82cdbda60f0f,/entries/arabic-islamic-judaic/,Mauro Zonta ,2
81,5f1baf92896f82cdbda60f10,/entries/arabic-islamic-language/,Tony Street ,2
82,5f1baf93896f82cdbda60f11,/entries/arabic-islamic-metaphysics/,Amos Bertolacci ,2
83,5f1baf95896f82cdbda60f12,/entries/arabic-islamic-mind/,Alfred Ivry,2
84,5f1baf96896f82cdbda60f13,/entries/arabic-islamic-mysticism/,Mehdi Aminrazavi ,2
85,5f1baf97896f82cdbda60f14,/entries/arabic-islamic-natural/,Jon McGinnis ,2
86,5f1baf99896f82cdbda60f15,/entries/arcesilaus/,Charles Brittain ,2
87,5f1baf9a896f82cdbda60f16,/entries/architecture/,Saul Fisher ,2
88,5f1baf9c896f82cdbda60f17,/entries/archytas/,Carl Huffman ,2
89,5f1baf9e896f82cdbda60f18,/entries/arendt/,Maurizio Passerin d'Entreves ,3
90,5f1bafa0896f82cdbda60f19,/entries/aristotelianism-renaissance/,Heinrich Kuhn ,2
91,5f1bafa1896f82cdbda60f1a,/entries/aristotle-biology/,James Lennox ,2
92,5f1bafa4896f82cdbda60f1b,/entries/aristotle-categories/,Paul Studtmann ,2
93,5f1bafa5896f82cdbda60f1c,/entries/aristotle-causality/,Andrea Falcon ,2
94,5f1bafa6896f82cdbda60f1d,/entries/aristotle-commentators/,Andrea Falcon ,2
95,5f1bafa8896f82cdbda60f1e,/entries/aristotle-ethics/,Richard Kraut ,2
96,5f1bafa9896f82cdbda60f1f,/entries/aristotle-logic/,Robin Smith ,2
97,5f1bafab896f82cdbda60f20,/entries/aristotle-mathematics/,Henry Mendell ,2
98,5f1bafac896f82cdbda60f21,/entries/aristotle-metaphysics/,S. Marc Cohen ,3
99,5f1bafad896f82cdbda60f22,/entries/aristotle-natphil/,Istvan Bodnar ,2
100,5f1bafb0896f82cdbda60f23,/entries/aristotle-noncontradiction/,Paula Gottlieb ,2
101,5f1bafb2896f82cdbda60f24,/entries/aristotle-politics/,Fred Miller ,2
102,5f1bafb3896f82cdbda60f25,/entries/aristotle-psychology/,Christopher Shields ,2
103,5f1bafb5896f82cdbda60f26,/entries/aristotle-rhetoric/,Christof Rapp ,2
104,5f1bafb6896f82cdbda60f27,/entries/aristotle/,Christopher Shields ,2
105,5f1bafb7896f82cdbda60f28,/entries/arnauld/,Elmar Kremer ,2
106,5f1bafb9896f82cdbda60f29,/entries/arrows-theorem/,Michael Morreau ,2
107,5f1bafbb896f82cdbda60f2a,/entries/art-definition/,Thomas Adajian ,2
108,5f1bafbd896f82cdbda60f2b,/entries/art-ontology-history/,Paisley Livingston ,2
109,5f1bafbf896f82cdbda60f2c,/entries/artifact/,Beth Preston ,2
110,5f1bafc6896f82cdbda60f2d,/entries/artificial-intelligence/,Selmer Bringsjord and Naveen Sundar Govindarajulu ,6
111,5f1bafc9896f82cdbda60f2e,/entries/assertion/,Peter Pagin ,2
112,5f1bafca896f82cdbda60f2f,/entries/associationist-thought/,Eric Mandelbaum ,2
113,5f1bafcb896f82cdbda60f30,/entries/astell/,Alice Sowaal ,2
114,5f1bafcd896f82cdbda60f31,/entries/atheism-agnosticism/,Paul Draper ,2
115,5f1bafce896f82cdbda60f32,/entries/atomism-ancient/,Sylvia Berryman ,2
116,5f1bafd0896f82cdbda60f33,/entries/atomism-modern/,Alan Chalmers,2
117,5f1bafd1896f82cdbda60f34,/entries/attention/,Christopher Mole ,2
118,5f1bafd3896f82cdbda60f35,/entries/august-rehberg/,Fred Beiser ,2
119,5f1bafd5896f82cdbda60f36,/entries/augustine/,Christian Tornau ,2
120,5f1bafd7896f82cdbda60f37,/entries/auriol/,Russell L. Friedman ,3
121,5f1bafd8896f82cdbda60f38,/entries/austin-jl/,Guy Longworth ,2
122,5f1bafdb896f82cdbda60f39,/entries/austin-john/,Brian Bix ,2
123,5f1bafdc896f82cdbda60f3a,/entries/authenticity/,Somogy Varga and Charles Guignon,5
124,5f1bafdf896f82cdbda60f3b,/entries/authority/,Tom Christiano ,2
125,5f1bafe0896f82cdbda60f3c,/entries/autonomy-moral/,John Christman ,2
126,5f1bafe2896f82cdbda60f3d,/entries/autrecourt/,Hans Thijssen ,2
127,5f1bafe4896f82cdbda60f3e,/entries/axiom-choice/,John L. Bell ,3
128,5f1bafe6896f82cdbda60f3f,/entries/ayer/,Graham Macdonald and Nakul Krishna ,5
129,5f1bafe7896f82cdbda60f40,/entries/ayn-rand/,Neera K. Badhwar and Roderick T. Long ,7
130,5f1bafe9896f82cdbda60f41,/entries/basing-epistemic/,Keith Allen Korcz ,3
131,5f1bafea896f82cdbda60f42,/entries/baudrillard/,Douglas Kellner,2
132,5f1bafec896f82cdbda60f43,/entries/bauer/,Douglas Moggach ,2
133,5f1bafed896f82cdbda60f44,/entries/bayes-theorem/,James Joyce ,2
134,5f1bafee896f82cdbda60f45,/entries/bayle/,Thomas M. Lennon and Michael Hickson ,6
135,5f1baff0896f82cdbda60f46,/entries/beardsley-aesthetics/,Michael Wreen ,2
136,5f1baff3896f82cdbda60f47,/entries/beauty/,Crispin Sartwell ,2
137,5f1baff4896f82cdbda60f48,/entries/beauvoir/,Debra Bergoffen and Megan Burke ,5
138,5f1baff7896f82cdbda60f49,/entries/behaviorism/,George Graham ,2
139,5f1baff9896f82cdbda60f4a,/entries/belief-merging/,Gabriella Pigozzi ,2
140,5f1baffb896f82cdbda60f4b,/entries/belief/,Eric Schwitzgebel ,2
141,5f1baffc896f82cdbda60f4c,/entries/bell-theorem/,"Wayne Myrvold , Marco Genovese, and Abner Shimony",8
142,5f1baffe896f82cdbda60f4d,/entries/benjamin/,Peter Osborne and Matthew Charles ,5
143,5f1bb001896f82cdbda60f4e,/entries/bentham/,James E. Crimmins ,3
144,5f1bb004896f82cdbda60f4f,/entries/bergson/,Leonard Lawlor and Valentine Moulard Leonard,6
145,5f1bb006896f82cdbda60f50,/entries/berkeley/,Lisa Downing ,2
146,5f1bb008896f82cdbda60f51,/entries/berlin/,Joshua Cherniss and Henry Hardy ,5
147,5f1bb009896f82cdbda60f52,/entries/bessarion/,Eva Del Soldato ,3
148,5f1bb00a896f82cdbda60f53,/entries/binarium/,Paul Vincent Spade,3
149,5f1bb00d896f82cdbda60f54,/entries/biodiversity/,Daniel P. Faith ,3
150,5f1bb00f896f82cdbda60f55,/entries/biology-developmental/,Alan Love ,2
151,5f1bb010896f82cdbda60f56,/entries/biology-experiment/,Marcel Weber ,2
152,5f1bb012896f82cdbda60f57,/entries/biology-individual/,Robert A. Wilsonand Matthew J. Barker ,6
153,5f1bb014896f82cdbda60f58,/entries/biology-philosophy/,Jay Odenbaugh and Paul Griffiths,5
154,5f1bb016896f82cdbda60f59,/entries/black-reparations/,Bernard Boxill ,2
155,5f1bb018896f82cdbda60f5a,/entries/blame/,Neal Tognazzini and D. Justin Coates ,6
156,5f1bb019896f82cdbda60f5b,/entries/bodily-awareness/,Frédérique de Vignemont ,3
157,5f1bb01b896f82cdbda60f5c,/entries/bodin/,Mario Turchetti ,2
158,5f1bb01d896f82cdbda60f5d,/entries/boethius/,John Marenbon ,2
159,5f1bb01e896f82cdbda60f5e,/entries/bohr-correspondence/,Alisa Bokulich ,2
160,5f1bb020896f82cdbda60f5f,/entries/bolzano-logic/,Jan Šebestik ,2
161,5f1bb021896f82cdbda60f60,/entries/bolzano/,Edgar Morscher ,2
162,5f1bb023896f82cdbda60f61,/entries/bonaventure/,Tim Noone and R. E. Houser ,6
163,5f1bb024896f82cdbda60f62,/entries/boolalg-math/,J. Donald Monk ,3
164,5f1bb027896f82cdbda60f63,/entries/boole/,Stanley Burris ,2
165,5f1bb029896f82cdbda60f64,/entries/bosanquet/,William Sweet ,2
166,5f1bb02b896f82cdbda60f65,/entries/boundary/,Achille Varzi ,2
167,5f1bb02d896f82cdbda60f66,/entries/bounded-rationality/,Gregory Wheeler ,2
168,5f1bb02f896f82cdbda60f67,/entries/boyle/,J. J. MacIntosh and Peter Anstey ,6
169,5f1bb030896f82cdbda60f68,/entries/bradley-moral-political/,David Crossley,2
170,5f1bb031896f82cdbda60f69,/entries/bradley-regress/,Katarina Perovic ,2
171,5f1bb033896f82cdbda60f6a,/entries/bradley/,Stewart Candlish and Pierfrancesco Basile ,5
172,5f1bb034896f82cdbda60f6b,/entries/brentano-judgement/,Johannes L. Brandl and Mark Textor ,6
173,5f1bb036896f82cdbda60f6c,/entries/brentano/,Wolfgang Huemer ,2
174,5f1bb038896f82cdbda60f6d,/entries/broad/,Kent Gustavsson ,2
175,5f1bb03a896f82cdbda60f6e,/entries/brouwer/,Mark van Atten ,3
176,5f1bb03b896f82cdbda60f6f,/entries/bruno/,Dilwyn Knox ,2
177,5f1bb045896f82cdbda60f70,/entries/buber/,Michael Zank and Zachary Braiterman ,5
178,5f1bb047896f82cdbda60f71,/entries/buddha/,Mark Siderits ,2
179,5f1bb04b896f82cdbda60f72,/entries/buddhism-chan/,Peter Hershock ,2
180,5f1bb04e896f82cdbda60f73,/entries/buddhism-huayan/,Bryan Van Norden and Nicholaos Jones ,6
181,5f1bb04f896f82cdbda60f74,/entries/buddhism-tiantai/,Brook Ziporyn ,2
182,5f1bb051896f82cdbda60f75,/entries/buridan/,Jack Zupko ,2
183,5f1bb054896f82cdbda60f76,/entries/burke/,Ian Harris ,2
184,5f1bb055896f82cdbda60f77,/entries/burley/,Alessandro Conti ,2
185,5f1bb056896f82cdbda60f78,/entries/butler-moral/,Aaron Garrett ,2
186,5f1bb058896f82cdbda60f79,/entries/byzantine-philosophy/,Katerina Ierodiakonou and Börje Bydén ,5
187,5f1bb05a896f82cdbda60f7a,/entries/callicles-thrasymachus/,Rachel Barney ,2
188,5f1bb05b896f82cdbda60f7b,/entries/cambridge-platonists/,Sarah Hutton ,2
189,5f1bb05c896f82cdbda60f7c,/entries/campanella/,Germana Ernst ,2
190,5f1bb05e896f82cdbda60f7d,/entries/camus/,Ronald Aronson ,2
191,5f1bb05f896f82cdbda60f7e,/entries/cancer/,Anya Plutynski ,2
192,5f1bb061896f82cdbda60f7f,/entries/capability-approach/,Ingrid Robeyns ,2
193,5f1bb062896f82cdbda60f80,/entries/cardano/,Guido Giglioni ,2
194,5f1bb065896f82cdbda60f81,/entries/carnap/,Hannes Leitgeb and André Carus ,5
195,5f1bb067896f82cdbda60f82,/entries/carneades/,James Allen ,2
196,5f1bb068896f82cdbda60f83,/entries/cassirer/,Michael Friedman ,2
197,5f1bb069896f82cdbda60f84,/entries/categories/,Amie Thomasson ,2
198,5f1bb06b896f82cdbda60f85,/entries/category-mistakes/,Ofra Magidor ,2
199,5f1bb06d896f82cdbda60f86,/entries/category-theory/,Jean-Pierre Marquis ,2
200,5f1bb06f896f82cdbda60f87,/entries/catharine-macaulay/,Karen Green ,2
201,5f1bb070896f82cdbda60f88,/entries/causal-models/,Christopher Hitchcock ,2
202,5f1bb072896f82cdbda60f89,/entries/causation-backwards/,Jan Faye ,2
203,5f1bb075896f82cdbda60f8a,/entries/causation-counterfactual/,Peter Menzies and Helen Beebee ,5
204,5f1bb078896f82cdbda60f8b,/entries/causation-law/,Michael Moore ,2
205,5f1bb07a896f82cdbda60f8c,/entries/causation-mani/,James Woodward ,2
206,5f1bb07c896f82cdbda60f8d,/entries/causation-medieval/,Graham White ,2
207,5f1bb07d896f82cdbda60f8e,/entries/causation-metaphysics/,Jonathan Schaffer ,2
208,5f1bb07f896f82cdbda60f8f,/entries/causation-probabilistic/,Christopher Hitchcock ,2
209,5f1bb080896f82cdbda60f90,/entries/cell-biology/,William Bechtel and Andrew Bollhagen ,5
210,5f1bb082896f82cdbda60f91,/entries/cellular-automata/,Francesco Berto and Jacopo Tagliabue ,5
211,5f1bb084896f82cdbda60f92,/entries/certainty/,Baron Reed ,2
212,5f1bb086896f82cdbda60f93,/entries/ceteris-paribus/,"Alexander Reutlinger, Gerhard Schurz, Andreas Hüttemann, and Siegfried Jaag ",9
213,5f1bb087896f82cdbda60f94,/entries/chance-randomness/,Antony Eagle ,2
214,5f1bb08a896f82cdbda60f95,/entries/change/,Chris Mortensen ,2
215,5f1bb08c896f82cdbda60f96,/entries/chaos/,Robert Bishop ,2
216,5f1bb08e896f82cdbda60f97,/entries/chemistry/,"Michael Weisberg, Paul Needham, and Robin Hendry ",7
217,5f1bb090896f82cdbda60f98,/entries/childhood/,Gareth Matthews and Amy Mullin ,5
218,5f1bb091896f82cdbda60f99,/entries/children/,Michael Pritchard ,2
219,5f1bb094896f82cdbda60f9a,/entries/chimeras/,Robert Streiffer ,2
220,5f1bb096896f82cdbda60f9b,/entries/chinese-change/,Tze-Ki Hon ,2
221,5f1bb097896f82cdbda60f9c,/entries/chinese-epistemology/,Jana Rošker ,2
222,5f1bb098896f82cdbda60f9d,/entries/chinese-legalism/,Yuri Pines ,2
223,5f1bb09a896f82cdbda60f9e,/entries/chinese-logic-language/,Marshall Willman ,2
224,5f1bb09b896f82cdbda60f9f,/entries/chinese-metaphysics/,Franklin Perkins ,2
225,5f1bb09d896f82cdbda60fa0,/entries/chinese-phil-medicine/,Lisa Raphals ,2
226,5f1bb09e896f82cdbda60fa1,/entries/chinese-phil-science/,Lisa Raphals ,2
227,5f1bb09f896f82cdbda60fa2,/entries/chinese-room/,David Cole ,2
228,5f1bb0a1896f82cdbda60fa3,/entries/chinese-social-political/,Stephen C. Angle ,3
229,5f1bb0a2896f82cdbda60fa4,/entries/chinese-translate-interpret/,Henry Rosemont Jr.,3
230,5f1bb0a4896f82cdbda60fa5,/entries/chisholm/,Richard Feldman and Fred Feldman ,5
231,5f1bb0a5896f82cdbda60fa6,/entries/christiantheology-philosophy/,Michael J. Murray and Michael Rea,6
232,5f1bb0a7896f82cdbda60fa7,/entries/church-turing/,B. Jack Copeland ,3
233,5f1bb0a8896f82cdbda60fa8,/entries/citizenship/,Dominique Leydet ,2
234,5f1bb0aa896f82cdbda60fa9,/entries/civic-education/,Jack Crittenden and Peter Levine ,5
235,5f1bb0ac896f82cdbda60faa,/entries/civil-disobedience/,Kimberley Brownlee ,2
236,5f1bb0ae896f82cdbda60fab,/entries/civil-rights/,Andrew Altman ,2
237,5f1bb0af896f82cdbda60fac,/entries/clarke/,Timothy Yenter and Ezio Vailati,5
238,5f1bb0b2896f82cdbda60fad,/entries/climate-science/,Wendy Parker ,2
239,5f1bb0b3896f82cdbda60fae,/entries/clinical-research/,David Wendler ,2
240,5f1bb0b5896f82cdbda60faf,/entries/cloning/,Katrien Devolder ,2
241,5f1bb0b7896f82cdbda60fb0,/entries/closure-epistemic/,Steven Luper,2
242,5f1bb0b9896f82cdbda60fb1,/entries/cockburn/,Patricia Sheridan ,2
243,5f1bb0bc896f82cdbda60fb2,/entries/coercion/,Scott Anderson ,2
244,5f1bb0bd896f82cdbda60fb3,/entries/cognition-animal/,Kristin Andrews ,2
245,5f1bb0be896f82cdbda60fb4,/entries/cognitive-disability/,"David Wasserman, Adrienne Asch, Jeffrey Blustein, and Daniel Putnam ",9
246,5f1bb0c0896f82cdbda60fb5,/entries/cognitive-science/,Paul Thagard ,2
247,5f1bb0c1896f82cdbda60fb6,/entries/cohen/,Scott Edgar ,2
248,5f1bb0c3896f82cdbda60fb7,/entries/collective-intentionality/,David P. Schweikard and Hans Bernhard Schmid ,7
249,5f1bb0c4896f82cdbda60fb8,/entries/collective-responsibility/,Marion Smiley ,2
250,5f1bb0c7896f82cdbda60fb9,/entries/collingwood-aesthetics/,Gary Kemp ,2
251,5f1bb0c8896f82cdbda60fba,/entries/collingwood/,Giuseppina D'Oro and James Connelly ,5
252,5f1bb0cb896f82cdbda60fbb,/entries/collins/,William Uzgalis ,2
253,5f1bb0cd896f82cdbda60fbc,/entries/colonialism/,Margaret Kohn and Kavita Reddy ,5
254,5f1bb0d0896f82cdbda60fbd,/entries/color/,Barry Maund ,2
255,5f1bb0d1896f82cdbda60fbe,/entries/common-good/,Waheed Hussain ,2
256,5f1bb0d3896f82cdbda60fbf,/entries/common-knowledge/,Peter Vanderschraaf and Giacomo Sillari ,5
257,5f1bb0d5896f82cdbda60fc0,/entries/communitarianism/,Daniel Bell ,2
258,5f1bb0d8896f82cdbda60fc1,/entries/comparphil-chiwes/,David Wong ,2
259,5f1bb0da896f82cdbda60fc2,/entries/compatibilism/,Michael McKenna and D. Justin Coates ,6
260,5f1bb0dc896f82cdbda60fc3,/entries/compositionality/,Zoltán Gendler Szabó ,3
261,5f1bb0de896f82cdbda60fc4,/entries/computability/,Neil Immerman ,2
262,5f1bb0df896f82cdbda60fc5,/entries/computation-physicalsystems/,Gualtiero Piccinini ,2
263,5f1bb0e2896f82cdbda60fc6,/entries/computational-complexity/,Walter Dean ,2
264,5f1bb0e3896f82cdbda60fc7,/entries/computational-linguistics/,Lenhart Schubert ,2
265,5f1bb0e5896f82cdbda60fc8,/entries/computational-mind/,Michael Rescorla ,2
266,5f1bb0e6896f82cdbda60fc9,/entries/computational-philosophy/,Patrick Grim and Daniel Singer ,5
267,5f1bb0ea896f82cdbda60fca,/entries/computer-science/,Raymond Turner and Nicola Angius ,5
268,5f1bb0eb896f82cdbda60fcb,/entries/computing-history/,B. Jack Copeland ,3
269,5f1bb0ee896f82cdbda60fcc,/entries/computing-responsibility/,Merel Noorman ,2
270,5f1bb0f0896f82cdbda60fcd,/entries/comte/,Michel Bourdeau ,2
271,5f1bb0f2896f82cdbda60fce,/entries/concept-emotion-india/,Joerg Tuske ,2
272,5f1bb0f4896f82cdbda60fcf,/entries/concept-evil/,Todd Calder ,2
273,5f1bb0f5896f82cdbda60fd0,/entries/concepts-god/,William Wainwright,2
274,5f1bb0f7896f82cdbda60fd1,/entries/concepts/,Eric Margolis and Stephen Laurence ,5
275,5f1bb0f9896f82cdbda60fd2,/entries/conceptual-art/,Elisabeth Schellekens ,2
276,5f1bb0fa896f82cdbda60fd3,/entries/condemnation/,Hans Thijssen ,2
277,5f1bb0fb896f82cdbda60fd4,/entries/condillac/,Lorne Falkenstein and Giovanni Grandi ,5
278,5f1bb0fd896f82cdbda60fd5,/entries/conditionals/,Dorothy Edgington ,2
279,5f1bb100896f82cdbda60fd6,/entries/confirmation/,Vincenzo Crupi ,2
280,5f1bb102896f82cdbda60fd7,/entries/confucius/,Mark Csikszentmihalyi ,2
281,5f1bb104896f82cdbda60fd8,/entries/connectionism/,Cameron Buckner and James Garson ,5
282,5f1bb105896f82cdbda60fd9,/entries/connectives-logic/,Lloyd Humberstone ,2
283,5f1bb107896f82cdbda60fda,/entries/conscience-medieval/,Douglas Langston ,2
284,5f1bb108896f82cdbda60fdb,/entries/conscience/,Alberto Giubilini ,2
285,5f1bb10a896f82cdbda60fdc,/entries/consciousness-17th/,Larry M. Jorgensen ,3
286,5f1bb10c896f82cdbda60fdd,/entries/consciousness-animal/,Colin Allen and Michael Trestman ,5
287,5f1bb10d896f82cdbda60fde,/entries/consciousness-higher/,Peter Carruthers,2
288,5f1bb112896f82cdbda60fdf,/entries/consciousness-intentionality/,Charles Siewert ,2
289,5f1bb114896f82cdbda60fe0,/entries/consciousness-neuroscience/,Wayne Wu ,2
290,5f1bb115896f82cdbda60fe1,/entries/consciousness-representational/,William Lycan ,2
291,5f1bb117896f82cdbda60fe2,/entries/consciousness-temporal/,Barry Dainton ,2
292,5f1bb119896f82cdbda60fe3,/entries/consciousness-unity/,Andrew Brook and Paul Raymont ,5
293,5f1bb11b896f82cdbda60fe4,/entries/consciousness/,Robert Van Gulick ,3
294,5f1bb11c896f82cdbda60fe5,/entries/consequence-medieval/,Catarina Dutilh Novaes ,3
295,5f1bb11e896f82cdbda60fe6,/entries/consequentialism-rule/,Brad Hooker ,2
296,5f1bb122896f82cdbda60fe7,/entries/consequentialism/,Walter Sinnott-Armstrong ,2
297,5f1bb123896f82cdbda60fe8,/entries/conservation-biology/,Jay Odenbaugh ,2
298,5f1bb124896f82cdbda60fe9,/entries/conservatism/,Andy Hamilton ,2
299,5f1bb126896f82cdbda60fea,/entries/constitutionalism/,Wil Waluchow ,2
300,5f1bb129896f82cdbda60feb,/entries/constructive-empiricism/,Bradley Monton and Chad Mohler ,5
301,5f1bb12a896f82cdbda60fec,/entries/constructivism-metaethics/,Carla Bagnoli ,2
302,5f1bb12b896f82cdbda60fed,/entries/content-causal/,Fred Adams and Ken Aizawa ,5
303,5f1bb12d896f82cdbda60fee,/entries/content-externalism/,Joe Lau and Max Deutsch,5
304,5f1bb12f896f82cdbda60fef,/entries/content-narrow/,Curtis Brown ,2
